"","項目","最小値","第一四分位数","中央値","平均値","第三四分位数","最大値","標準偏差"
"1","戦闘力",3723,4162.75,4448.5,4534.17,4827.75,6041,484.94
"2","闇の精霊",975,1040,1070,1071.64,1094,1259,52.35
"3","持続スキル",50,72,82,77.97,86,102,11.05
"4","知識(一般)",224,238.75,240,240.97,248,251,6.81
"5","知識(ボス)",96,152,177.5,188.76,216,424,56.51
"6","知識(ボスLv報酬)",8,16,21,25.84,33,88,14.65
"7","ペット収集",0,2,5,9.29,7,62,16.15
"8","図鑑",48,102,102,100.75,102,117,8.88
"9","キャラLv",316,362,372,365.24,372,372,11.59
"10","スキル修練Lv",44,48,51,51.42,55,66,4.68
"11","衣装",10,53,80,68.81,80,80,19.08
"12","装備",982,1185.5,1293.5,1310.73,1433.25,1670,155.08
"13","アクセ",289,343.75,379,384.33,415,522,48.54
"14","遺物",37,46.75,86,89.73,118,194,42.32
"15","錬金石",0,0,0,4.43,0,106,18.5
"16","水晶",16,67,90.5,83.87,101,136,24.63
"17","魔力刻印",7.75,48.5,71.5,71.88,94.5,164,31.84
"18","光原石",0,26,32,33.13,40,67,11.78
"19","成長ボーナス",308,316,316,355.15,350,534,62.17
